FID,height,area,Additional_water,Ponding_level,Average_ponding_depth
723,60,1562.5,3582.499999997837,63.582,0.94173
723,63,61562.5,582.5000000000639,63.583,0.94173
725,61,468.75,2165.8999999991256,63.166,0.27936
727,55,3906.25,85.6999999999994,55.086,0.00669
728,85,10937.5,6.199999999999994,85.006,0.00136
729,102,1093.75,1674.6999999995724,103.675,0.1062
730,61,781.25,3813.1999999976274,64.813,1.34364
736,73,3125.0,2263.499999999037,75.263,0.62255
737,95,312.5,7263.100000008892,102.263,0.99612
739,52,781.25,3.0000000000000013,52.003,5e-05
743,121,9375.0,86.89999999999934,121.087,0.01628
744,78,312.5,2069.2999999992135,80.069,0.02803
747,61,468.75,2572.9999999987554,63.573,0.69478
748,80,1406.25,928.3000000001425,80.928,0.02611
751,81,2968.75,1031.6000000001573,82.032,0.0729
752,57,937.5,6833.400000007328,63.833,1.37146
759,60,468.75,395.9000000000215,60.396,0.00371
760,54,625.0,306.1000000000011,54.306,0.00383
762,61,1093.75,1305.699999999908,62.306,0.07155
768,66,625.0,2829.9999999985216,68.83,0.99739
773,61,468.75,1173.700000000028,62.174,0.03922
774,57,781.25,20.100000000000016,57.02,0.00031
776,82,2968.75,55.10000000000051,82.055,0.00327
777,100,5781.25,1012.7000000001617,101.013,0.11935
778,62,5312.5,1723.5999999995279,63.724,0.80391
783,82,625.0,975.6000000001533,82.976,0.01219
784,77,312.5,1128.2000000000694,78.128,0.00985
786,92,1250.0,304.10000000000065,92.304,0.0076
787,60,2812.5,1304.8999999999087,61.305,0.17722
788,83,937.5,1042.7000000001472,84.043,0.02408
789,105,1406.25,1655.19999999959,106.655,0.10182
790,101,1093.75,1895.5999999993714,102.896,0.12263
792,83,2500.0,1882.899999999383,84.883,0.30107
793,109,3593.75,341.7000000000092,109.342,0.02455
794,62,12500.0,2010.5999999992669,64.011,0.40765
795,83,781.25,317.5000000000037,83.318,0.00496
797,58,312.5,5259.5000000016025,63.26,0.85167
797,59,781.25,4259.499999997965,63.259,0.85167
800,102,937.5,1054.0000000001369,103.054,0.02937
801,61,937.5,1656.0999999995893,62.656,0.13561
802,67,312.5,4896.700000000283,71.897,1.04209
804,76,3125.0,2421.699999998893,78.422,0.67296
807,56,625.0,233.19999999999104,56.233,0.00291
809,61,6875.0,483.10000000004135,61.483,0.06642
811,62,468.75,5098.900000001018,67.099,0.50865
813,109,6250.0,3.4000000000000017,109.003,0.00042
814,61,312.5,1019.2000000001632,62.019,0.00691
815,133,1093.75,15.69999999999996,133.016,0.00034
818,80,156.25,4019.7999999974395,84.02,0.30958
820,107,468.75,563.2000000000595,107.563,0.00528
821,90,1718.75,2059.699999999222,92.06,0.17085
822,57,5625.0,183.99999999999383,57.184,0.02069
825,89,5000.0,2.600000000000001,89.003,0.00025
826,62,1093.75,1173.600000000028,63.174,0.1005
828,81,5000.0,1864.2999999994,82.864,0.71305
829,58,4062.5,20.50000000000002,58.02,0.00166
830,89,312.5,60.30000000000059,89.06,0.00038
831,81,937.5,674.6000000000848,81.675,0.01265
835,146,4687.5,317.6000000000037,146.318,0.02977
836,105,6562.5,553.3000000000573,105.553,0.07262
837,62,625.0,2276.8999999990247,64.277,0.47385
838,91,2187.5,160.69999999999516,91.161,0.00703
841,62,5000.0,1096.5000000000982,63.097,0.18381
841,63,38437.5,96.49999999999879,63.096,0.18381
